Title,Location,Details,Size,Timescale,Features,Quote,Quote Attribution
Anya Hindmarch,Kildare Village,"Founded in 1987, Anya Hindmarch has grown into a global brand with more than 45 stores including flagship outlets in New York, London, Tokyo and LA. Known for blending wit and creativity with the finest craftsmanship and innovative leatherwork techniques, they are stocked in many of the world’s best retail stores, from Barney’s in New York to BoonTheShop in Korea.

Following receipt of our outline brief, we were appointed to create a unique, bespoke new store for the brand in Kildare Village coupled with the strip out, surrender and relocation of the existing store within the campus. The new store was a complete turn key fitout from “grey box” to open for business. The works comprised of new flooring details, changing room marketing and sales displays and complete joinery coordination as well as mechanical and electrical installation.

The completed project reflects Anya Hindmarch’s extraordinary identity with strong emphasis on minimalistic detail and a high level of finishes throughout.",100m2,"1-week pre-construction
8 weeks on-site","Extensive feature joinery package
Stunning solid oak herringbone flooring
Bespoke glazed partition solution
M&E and IT upgrades throughout
Live Building working environment
Turnkey furniture package and Client migration",,
Private Client,Citywest,"We are delighted to showcase the successful completion of a new 30k sq.ft. Corporate HQ office in Dublin’s Citywest Business Campus for a Private Sonica Client, the results of which are absolutely stunning.

Our brief took the project from an existing Landlord CAT-A finish (which was fully stripped out) to their fitted out Corporate HQ in 14 weeks from appointment.

Works were undertaken in a multi-tenanted office development with continual intensive daily co-ordination with the sitting Campus Management Team. Added to the time sensitive nature of the project was the Client’s “not-to-exceed” occupation date which was a key consideration in our aggressive construction programme.

Due to the high degree of cellularisation to form the various offices, meeting spaces and executive boardrooms, the mechanical scope required considerable addition to the primary Landlord ventilation provisions via. intensive upgrades, modelling and building control integration.

The project scope also included a large specialist joinery component, an extensive “Town Hall” meeting space with feature exposed ceilings and feature lighting throughout, bespoke reception area, feature hard and soft floorings, substantial active IT solution, a fully redundant IT backbone install with UPS back up to main comms room, gymnasium installation, high-end Corporate level access control and security install, A/V delivery and a full furniture installation across the complete floor plate.","3,000m2","4 weeks pre-construction
10 weeks on site","Design and VE development to suit budget parameters
International collaboration with multiple project stakeholders
Co-ordination with local Team on relocation deliverables
Comms room commissioned and complete 2 weeks before handover to allow Client IT access.",,
AIG,"IFSC, Dublin","AIG Europe Limited is a provider of innovative products and services, including car, property, travel, health and identity theft insurance products to more than half of the country’s top 100 companies as well as many public and private sector organisations and tens of thousands of individuals. They are also the proud main sponsor of the Dublin GAA Team #BackingEveryStep

Working in their Irish HQ offices in the IFSC, our brief comprised of the removal and replacement of the complete existing building ventilation system followed by retro-install of a new AC system with associated architectural and electrical works. The brief also included a full upgrade of all WCs throughout the building, installation of new mechanical chilling plant at roof level, a fixed line system for roof access, Landlord common area refurbishment and a complete re-design and fitout of the 3rd Floor office space. All works were conducted within a live, fully occupied building environment.

The new office design placed emphasis on increased Team collaboration with all new open plan workstations, meeting rooms, offices, boardrooms, flexible spaces, staff kitchens & canteen areas, breakout areas and a number of bespoke “Tech Bars” all part of the required brief.

Effective use of space was an issue in the previous office so the new office was designed with ample storage capabilities to reduce clutter. The overall look and feel of the completed offices are fresh, professional and welcoming with spectacular views across Dublin city.

The whole project was completed within the agreed tender time frame of 22 weeks.","8,000m2",22 weeks on site,"Variety of work settings and collaboration spaces
Extensive M&E Remodel & Upgrade
High quality joinery
Works in fully occupied building over 5-floor plates
Management of Client Direct vendors into master programme of works","On behalf of the PM team, I would like to convey our thanks to the Sonica team for a job well done. A special word of thanks to your Construction Manager, Ray McCaul, for his 100% commitment in achieving PC. This was a challenging project on a number of fronts and this achievement is not to be underestimated.","Allan Murphy, Director, Scott-Murphy. Client PM"
Sonica Fitout,"Kingram Place, Dublin 2","We are delighted to showcase the completion of our new Head Office in Kingram Place, at the heart of Fitzwilliam Square in Dublin City Center.

Works commenced in January 2016 and were completed in a hugely impressive 5-week programme led by our D&B CM Colin Kirwan. Calling on our most trusted of trade contract partners, we have succeeded in creating what we feel is an office that’s truly worthy of the people that occupy it. It is everything we are as a Company: unique, unconventional, unexpected, refreshingly modern and forward thinking.

The fitout is nothing short of breath taking. Justin Treacy and Liat Greenhot of RKD Interiors have taken the vibrancy and energy of the Sonica brand and brought it to life with a myriad of individual features and wonderful ideas. From the floor-to-ceiling trapezoidal wall panelled boardroom to a 10m long 3-D snake bench with over 300 individually milled vertical components in the Ops Area, there is simply nothing like it in the City.

We can’t wait to show you around what is a great place to work and even better place to visit!",350m2,5 weeks on site,"Unique custom made trapezoidal Boardroom wall panelling
Completely bespoke joinery throughout the entire office
Feature operator workstation desking & storage units
Wifi controlled lighting control system for user defined mood and colour settings
Extensive graphics and artwork package
Custom laid vinyl plank flooring to feature guest Reception
Complete A/V solution to Boardroom, Breakouts and Reception.","This office is our showroom, our statement of ""Hey, look what we can do!"" and it does that all in spades. We love seeing peoples reactions when they visit because they are just simply blown away with the ideas and concepts, the intricacies of the work and the overall finished product. In almost 20-years of fitout, I'm happy to say there is simply nothing like it anywhere else, which is what we at Sonica are all about.","Donnacha Neary, Managing Director"
Ellucian,"Marine House, Dublin 2","Ellucian provide the software, services and analytics needed to manage campus businesses faster, easier and more effectively. Serving 2,400 institutions in 40 countries across the globe, they selected Sonica Fitout as their partner for the fitout of their new Irish HQ in Dublin.

The project commenced with the demolition and strip out of existing finishes and M&E services on one of the upper floors of this multi-tenanted, fully occupied live building. The pre-planning and logistical management of this significant operation ran hand-in-hand with the simultaneous upfront procurement of specialist packages required for the fitout.

The intricate design of the space encompassed features on all flat surfaces, from the multi-layered flooring finishes to the varied hard and soft textures on partitions and walls throughout. The open plan desking has privacy screens and operator chairs matched with selected fabrics to accentuate the colour scheme of the Company’s brand. Ceilings were a blend of exposed concrete slabs interspersed with raft formed lay in grids to pick out areas below. A full M&E, IT and A/V brief fell under our remit with Sonica also co-ordinating the Client furniture delivery, load-out and installation.

The completed space gives staff the use of finished huddle rooms, spacious canteens and tea stations, open collaboration areas, V-Con Rooms, Exec Boardrooms and quiet cellular offices. The project was delivered on-programme and within the agreed Contract Sum. More importantly, it was a hugely enjoyable experience for us thanks to a fantastic Client that empowered their Design Team to “go big” with their imagination and trusted us to realise their vision for the completed work space.

The end product is truly spectacular, one that we are hugely proud of and delighted to show case.",1000m2 floor plate,7 weeks on-site from start to full Client occupation,"Substantial feature joinery package
Acoustically rated glazed partition solution with bespoke manifestations
Complete M&E refit with Data / Active IT rewire part of brief
Multiple floor finishes, hard and soft
Co-ordination with sitting tennants and Landlord teams all through construction
Snag free hand back",A very detailed piece of work taken on and delivered against an aggressive programme driven by our Client's not to be missed occupational requirements. You guys made it all look easy.,"Neil McGovern, Project Manager & Client Rep. Jones Lang LaSalle"
Ticket Master,"Grafton House, Grafton Street","Ticketmaster is the world’s largest ticket distribution company, providing event tickets for more than 10,000 Promotors whose productions range from professional wrestling matches and rock concerts to Broadway shows and operas.

Our brief was to deliver a vibrant and invigorating work space for the Company’s employees at the new Ticketmaster Ireland HQ.  The works entailed the fit-out to an existing unit which involved strip out and demolitions of the previously occupied space, the installation of all new wall partitions, floor finishes, internal decoration, M&E service installations and a complete office furniture solution.  The design of the working environment is predominantly open plan to allow for collaborative interaction and employee connectivity, but strategically placed workstations and cellular meeting spaces ensure that teams retain their structure within the overall environment.

Features of the design include a spacious staff kitchen and breakout area, a specialised digital meeting / training room, boardroom, numerous meeting rooms, a secure ticket print / store room and a reception area with “Bolon” wall and bespoke desk.  In keeping with Ticketmasters corporate brand identity, large scale graphics fill the walls at every vantage point, reinforcing the culture of the company and adding energy and colour to the space.

The project was delivered in 6 weeks following an accelerated pre-construction and mobilisation period to meet the Clients set in stone move in date.
",600m2,"2 weeks pre-con
6 weeks on site","Bespoke specialised joinery with numerous unique finishes and materials
International collaboration with Ticket Master’s overseas steering group
Corporate signage & brand identity
Management of Client direct vend packages",,
Wipro,"Elm Park, Dublin","Wipro Ltd is a global information technology, consulting and outsourcing company with 158,217 employees serving clients in 175+ cities across 6 continents. The company posted revenues of $7.5 billion for the financial year ended Mar 31, 2015.

Following their announcement to move into the Irish market, they selected Sonica as their turn key D&B contractor for the design and fitout of their new 240-seater office in the spectacular Elm Park OBA in Dublin.

Our Design and Build brief took the project from initial space planning for Lease negotiation, to Landlord consent phase, through to detailed design, costing, planning, constructing and overall hand-back. The complete project life cycle, managed from start-to-finish by Sonica.

Works were undertaken in the top 3-floors of the OBA building with management of logistics and daily co-ordination with the sitting Building Management Team a key consideration in the development of our aggressive construction programme.

A high degree of cellularisation in forming the various manager offices, meeting spaces, huddle rooms and executive boardrooms required considerable addition to the Landlords naturally conditioned eco-building ventilation strategy via. intensive modelling and BMS integration. The project scope also included a large specialist joinery component, stone flooring, substantial active IT solution, a fully redundant IT backbone install, Comms Room UPS, digital monitoring, building security, A/V delivery and a complete furniture installation across 3-floor plates.

The project was run with fully transparent financials, with the Client retaining all expenditure authorisation throughout the build process via their internationally issued PO’s. The completed works were delivered below the original approved budget tabled at Design completion stage.","3,000m2","6 weeks design
8 weeks on site","International collaboration at design phase to achieve Client design goals.
Open plan financials with project delivered on time and below budget.
Comms room commissioned and complete 3 weeks before handover to allow Client IT access.
Client direct vendors were managed into our overall programme to ensure complete co-ordination of overall project completion.",Every member of their Project Delivery Team remained a hugely visible resource to us all through the complete project life cycle and the final results speak for themselves. We cannot speak highly enough of the manner in which they completed this project.,"Paul Quinn, BKD Architects."
Blackrock Investments,Ballsbridge,"Blackrock is trusted to manage more money than any other investment firm with over 135 teams in 30 countries sharing their best thinking to seek better returns for their clients. As the worlds largest investor, they currently manage in excess of 7,700 portfolios comprising $4.72T of assets.

Following the expansion of their Irish Team, they selected Sonica as main contractor for their office relocation project as they transferred their Dublin operation from Barrow St. to larger offices in Ballsbridge.

Our brief took the project from an empty “grey box” to their fully fitted out Corporate HQ in 14 weeks from appointment.

Works were undertaken in a multi-tenanted fully occupied building with continual intensive daily co-ordination with the sitting Building Management Team and other tenants a key consideration in the development of our aggressive construction programme.

Due to the high degree of cellularisation to form the various manager offices, meeting spaces and executive boardrooms, the mechanical scope required considerable addition to the primary Landlord ventilation provisions via. intensive upgrades, modelling and BMS integration. The project scope also included a large specialist joinery component, a bespoke reception area, feature hard and soft floorings, substantial active IT solution, a fully redundant IT backbone install, Comms Room UPS & downflow A/C, programmable SCADA digital monitoring, high-end Corporate level access control and security install, A/V delivery and a full furniture installation across the complete floor plate.
All works were completed on-time against an aggressive delivery programme and within the agreed budget parameters.","1,000m2","4 weeks Pre-Con
10 weeks on site","International collaboration with UK led Design Team
Co-ordination with sitting tenants and Landlord Teams throughout the construction period
Comms room commissioned and complete 2 weeks before handover to allow Client IT access.
Client direct vendors were managed into our overall programme to ensure complete co-ordination of the overall project completion",,
Nissan,Dublin,"Nissan has been at the forefront of the Irish motor industry since their arrival into Ireland in 1977, a feat that is achieved by a potent combination of aggressive sales and marketing strategies coupled with an extremely strong customer service philosophy.

As part of their continual commitment to maintaining top-end customer experiences in their network of dealer garages, the Company embarked on a programme of refurbishment on four of their flag-ship premises in Deansgrange, Liffey Valley, Airside Swords and Tallaght. We were delighted to be selected by Nissan and their extended Professional Team to carry out this exciting multi-location works programme.

The works centred on the strip out and replacement of key features and finishes in the existing garages to raise their already impressive profiles. This was achieved by the introduction of a new bespoke A/V installation, a feature lighting overhaul, addition of glazed meeting rooms for customer interaction, a total hard-flooring uplift and replacement, new joinery, soft furnishings and a full redecoration to create a completely new look-and-feel.

The biggest challenge was to carry out these works, against 4-separate and standalone aggressive installation programmes, whilst the garages remained open for business during the refurbishment process.

It is a testament to the on-site management from the Sonica Operations Team that the projects were not only all completed on-time, but the positive impact achieved through the high-quality of the finished works exceeded Nissan’s initial expectations for these flag-ship finished garages.",4 no. garages of 1500m2 each,"4 weeks per garage
16-week overall programme","Full strip out of existing finishes carried out inside LIVE working garages
Substantial out of hours working to facilitate Sales Operations
Co-ordination of Client direct international suppliers
Phased programming to allow staggered completion of garages","We developed a very good relationship with Sonica during the course of our recent multi-location refurbishments. We felt that the lines of communication were always open, their Team were very responsive to our various queries whilst remaining extremely flexible, but most importantly they shared our passion and commitment for the project at hand. We are simply delighted with the final product.","Ian Moran, Group Financial Accountant"
Private Client,Dublin,"Our Client is one of Ireland’s leading providers of advanced information technology, products, services and business consulting expertise. They are dedicated to helping their Clients innovate and succeed through the end-to-end transformation of their business models and the application of innovative technology and business solutions.

Our brief comprised of the creation of a new customer experience room at their main operations facility in Dublin. Works were undertaken within this heavily occupied building with continual intensive daily co-ordination with the on-site Building Management Team. The existing space was previously used as a games area, the new fit-out required strip out of all existing finishes to provide a significant AV installation to the room, together with extensive modifications to the “Street” circulation and access areas. An associated AV room and Store Room was also constructed.

The finished product is a sleek modern fitout and the use of corporate colours throughout the design is a bold injection into what was previosuly a neutral space. Some highly technical features on the project included a bespoke free standing feature wall that was constructed with a steel frame and wrapped in toughened back painted glass to act as a divider in the room to separate the space. A custom built curved glass ramp was also provided and hanging feature oval lights are an uplifting addition.

The project was completed within the agreed tender time frame of 5 weeks.",150m2,5 weeks on site,"Bespoke free standing feature wall
Specialist feature lighting
Hi-Tech AV interactive and communications systems
Curved glass access ramp",,
Guinness Storehouse,"St James’s Gate, Dublin 8","Spread over 4-floors, works ran concurrently in Ireland’s No. 1 Tourist attraction – a building with 5,000 visitors daily.

Individual work areas were the Visitor Experience Center, Group Orientation area, Arthur Guinness Room, Business Center refurbishment, Project Taste Experience, Arrol Bar refurbishment, Red Jacket retail Fitout, Ground Floor signature St. James’s Gate Replica and a full mezzanine retail area re-fit.

Project Taste included conceptual “Scent Oscillator” columns, developed and designed specifically for the new Taste Experience exhibition. The main ingredients used to brew Guinness were vaporized to enhance the overall visitor sensory experience in tasting the beer.

Interactive A/V screens in The Arthur Guinness Room that speak to visitors as they pass. Screen chassis’s concealed within feature wall paneling and triggered from ceiling disguised presence detectors.

A full size replica of the iconic St. James’s Gate was installed in the main Ground Floor visitor reception area.

Restoration of historic Guinness photography for scanning and printing onto full size extended wall murals installed in the Group Reception Area.

Millwork fabricated from reclaimed sources to preserve the antique feel of several feature joinery pieces.",Multiple individual work areas spread over 4-separate floors.,22 weeks on site,"Multi-Trade Interaction and Co-ordination
Management of incumbent contractors within main fitout programme
Extensive OOH Works to accommodate visitor traffic
Concept Design Development
Interaction with Several Design Teams across concurrent projects","We wanted this scheme to become the best place to taste Guiness Worldwide. The outcome conceived and developed by your installation team is simply outstanding. It has exceeded all my expectations. I love Taste, but more importantly, our visitors love it.","Paul Carthy, Managing Director, Guinness Storehouse"
Fitter Faster Stronger,Leeson Street,"Having only formed in 2013, Fitter Faster Stronger (FFS) is now widely regarded as the pre-eminent Strength, Metabolic Conditioning and Functional Training Facility in the Capital.  Founded by Rory McInerney and Ciaran Ruddock, they have already cultivated a unique brand, a large Twitter following and a dedicated membership that has christened their training facility “The Home of Hard Work“.

As part of their expansion and continual brand development, we were hugely enthusiastic to be engaged for their gym refurbishment project on Leeson St.  With three of the Senior Sonica management staff already dedicated members of the gym, we were delighted to be able to offer some of our expertise back in return for the countless hours of training and coaching we had received from the FFS Team.

The brief was to draw heavily from the already established branding and colouring of the FFS logo, and transfer that strength of identity into the various training areas of the gym.  The results are clean, sharp surfaces throughout with extensive motivational branding & calls to action.
","Basement area, City Centre Location.","The project was fully designed and off-site fabricated, assembly occurred on-site over a single out-of-hours weekend to accommodate the extensive gym class schedule.","Concept development
Design and off-site fabrication
Extensive branding and signage
Bespoke branded cabinetry and joinery
Feature Gym Flooring","The level of professionalism and proficiency astounded us on this project. The entire revamp was completed on an aggressive timeline, a 36 hour period, in order to minimise downtime for our Clients. The team at FFS are all delighted with a gym that is now more functional, but also looks awesome!","Rory McInerney, Managing Director, FFS"
Ballsbridge Park,"Sweepstakes Building, Dublin 4","Landlord refurbishment project to recondition the building atrium and main reception, all lift cores, common areas, bathrooms and staircores spread over 6-floors in a Live occupied working environment.

Works also extended to the complete demolition and refitting of the Ground Floor Open Plan Offices to act as the building marketing suite.
Formation of ground floor meeting rooms for anchor tenant, specifically designed for maximum privacy with increased acoustic properties.
Reflooring complete atrium with new stone tiling – all works carried out by nights to minimize disruption to existing tenants.

Installation of new enlarged multi-operator reception desk, double height feature atrium wall paneling and glazing.

Building fabric surveying and development of repair and maintenance programme.

Installation of new security speed lanes with supply of access control systems tailored to multitenant / multi-card operation.

Complete M&E brief to include all services associated with bathroom and shower upgrades, A/C to open plan offices and power upgrades to suit new tenancy requirements.
",Multiple individual work areas spread over 6-separate floors.,14 weeks on site,"Landlord / Tennant liaison in programme development
Large proportion of works undertaken out of hours
Feature package design development with architect to align with budget provisions
Interfacing with multiple stake holders","We were very impressed by the manner in which you undertook the project and advanced your works – nothing was ever an issue, “No” was never an answer.","Frank Doyle, Studio 3 Architects"
Aspen Pharma,"Custom House Quay, Dublin 2","Design and Build project from initial space planning for Lease negotiation, to Landlord consent phase, through to detailed design, costing, planning, constructing and overall hand-back. The complete project life cycle, managed from start-to-finish by Sonica.

Open plan spaces were developed off the Client’s international office templates, with the expressed requirement to improve existing flow and promote productivity. Our designers took the starting point from a Dubai based plan and streamlined it into an improved Dublin model to achieve these goals.

Works were undertaken inside a 12-storey multi tenanted building. Management of logistics and daily co-ordination with the sitting Building Management Team was a key consideration in the development of our aggressive construction programme which was led by Client early occupational requirements.

A high degree of cellularisation in the offices required considerable addition to the Landlord provided A/C and lighting control systems. These A/C & lighting upgrades were carried out to provide local dedicated user defined control and were simultaneously linked back to the head end BMS system for Landlord energy monitoring.

The project was run as an open book Management Contract, with the Client retaining all expenditure authorization throughout the build process. The completed works were delivered below the original approved budget tabled at Design completion stage.",750m2,8 weeks on site,"International collaboration at design phase to achieve Client design goals.
Open plan financials with project delivered on time and below budget.
Comms room commissioned and complete 3 weeks before handover to allow Client IT access.
Client direct vendors were managed into our overall programme to ensure complete co-ordination of overall project completion.","From initial meeting to final handback, we knew that in Sonica Fitout we had a Design & Build Contractor that could translate the multi-faceted requirements of our business needs into a single, co-ordinated and stream lined project action plan. They listened, they advised and they delivered a space that has gone way beyoned all of our expectations.","Elisha O' Keeffe, Aspen Pharma Ireland"
Sonica HQ,"10-12 Hogan Place, Dublin 2","The brief was to capture the vibrancy and energy of the Sonica Fitout brand, while showcasing our talent for design and fitout.

The completed office had to deliver a working area that would encourage open collaboration between departments and provide an environment where staff could discuss fresh ideas and develop new systems.

The Company branding and instantly recognisable “Sonica Rainbow” colouring were used as the central theme in the fitout, with graphics and murals developed specifically to enhance the fabrics, wall and floor colorings used throughout.

Staff & Client individuality was celebrated with offices and meeting rooms designed with personality.

The canteen has a “Catch Phrase Wall” dedicated to valued Company friend.

The sauna styled Collab Room succeeds in forming the central hub – a place we gravitate to for both informal internal meetings and TGI Friday beers.

The Strong Room is a “Do Not Disturb Zone” where we can go to crash out a tender or just think in peace and quiet.

Our Client’s love it too – we’ve lost track of the amount of people that have called in to us, just to hang out (and to make sure they get their names onto the Sonica Tube Map!)",300m2,3 weeks on site.,"Sauna style Collab area
Extensive bespoke murals and wall art
Feature wall tiling and lighting throughout
Executive Boardroom with full A/V
Strong Room / Phone Free Zone for thinking.","It’s a really nice space, an office we all feel comfortable in, a place we love to work in, our home away from home.","Donnacha Neary, MD, Sonica Fitout"
Axway,"Pembroke Street Upper, Dublin","Over 11,000 Companies Worldwide rely on AXWAY for their B2B software solutions. Axway relied on just one, Sonica Fitout, for their new Dublin HQ office fitout.

Sonica appointed the Architectural and M&E Design Teams and also acted as traditional Main Contractor for the fitout with responsibility for overall design verification and certification of the M&E systems.

Works involved the full strip out of the existing floor plate in preparation for the formation of open plan offices, manager cellular offices, boardroom facilities with full A/V capability, new staff canteen, comms room, bathrooms & staff shower rooms.

Sonica also engaged a Graphic Design company to develop wall art and murals throughout the office space that reflected the Company’s vision and message.

Works were conducted on the 1st floor of Investment House in Dublin, a multi tenanted fully occupied Live office block, with all logistics for these operations managed by the Sonica Site Team.",1200m2,8 weeks on site,"Full bathroom and shower room installations
Extensive Graphics and Wall Art Design
Lead role in Design verification and certification
Aggressive programme delivered in a fully occupied multi-tennanted environment","To invest our time best in on our role as Client Representatives, we need a Contractor that makes the successful completion of the project their main and only focus. We get that every time we work with Sonica - it makes the whole process a pleasure for all concerned.","Andrew McCracken, Director, Jones Lang LaSalle"
Allied World,"Custom House Quay, Dublin 2","Since their formation in 2001, Allied World have built a reputation as a strong supplier of insurance and reinsurance solutions globally with a worldwide network of offices and a NYSE listing.

Appointed as Main Contractor, Sonica’s brief was to modernize Allied’s existing Dublin office while they remained in situ during the course of the works. The phased approach to the process involved meticulous planning with Allied’s appointed management team so that the overall programme could be broken down into daily milestones.

The scope involved increasing the level of open plan allowances in the space via. removal of existing cellular offices, M&E augmentations to supplement the additional head count, new canteen facilities, meeting facilities, floor finishes and a complete workstation package renewal.

The bulk of the works were conducted outside of normal office hours to minimize the impact to the Client’s day-to-day operations, with the Sonica Site Team delivering against every milestone in the process from start to finish.
","800m2
",8 weeks on site,"In Depth Planning for substantial Out of Hours workscope
Upgraded M&E for increased staff head count
Re-cellularisation of Manager Offices and Meeting Rooms
Full new staff canteen facilities","You kept us informed through the whole process, we knew what was happening, when it was happening, what task was next in the chain and when it was successfully completed. We always felt like we were in good hands.","Aideen Quinn, VP for HR, Europe & Asia, Allied World"
SCA,"Blanchardstown Corporate Park 2, Dublin 15","Sonica acted as traditional Main Contractor for the fitout of SCA Ireland’s new offices with responsibility for design and certification of the M&E systems forming part of the overall brief.

Taken from Landlord CAT-A condition, works involved formation of open plan offices, manager cellular offices, boardroom facilities with full A/V capability, new staff canteen, post room & store rooms.

We also had responsibility for securing Landlord consent for the M&E alterations involved in supplementing and modifying the A/C and lighting control systems to suit our finalized layouts.
",400m2,4 weeks on site,"Buzzifelt feature acoustic attenuation
Feature graphics and wall murals
M&E Design and Build
Management of Client Direct furniture vendor
Landlord consent applications","We have been very impressed with your company’s overall professionalism from the cleanliness of the site, management of contractors, general can-do attitude and most importantly; the ahead of schedule completion of the job. The new office looks fantastic and the whole team are looking forward to moving into their new home!","Simon Pickering, SCA / Tork"
Cartrawler,"Dundrum Business Park, Dublin 14","Cartrawler provides travel-related retailers with a fully managed gateway to over 800 car rental agents at 30,000 locations in 174 different countries.

Sonica completed the fitout of their new offices in Dublin comprising cellular offices, meeting rooms, staff canteens, an All Hands Town Hall meeting area, chill out room and open plan workspace to accommodate up to 235 staff.

M&E works were carried out under a domestic sub-contract with Sonica offering a turn key project developed from initial tender drawings and specifications. Works involved supplementing the landlord A/C systems, a full data installation to a central comms room, electrical power distribution to desk mounted furniture solution and full lighting augmentation to include scene setting in selected areas.
","1,200m2",8 weeks on site,,You took the stress out of the whole process for us – the fitout was handed over as we wanted it when we wanted it.,"Lynsey Egan, Cartrawler"
Lisney,"Earlsford Terrance, Dublin 4","When relocating from their home of c. 20-years on Dublin’s St. Stephen’s Green, Lisney appointed Sonica to act as their Main Contractor and Partner to deliver their modern new office space over two floors on Earlsfort Terrace.

Works involved the strip out of 2 existing floors in the building in preparation for the new office layouts. The first floor was fitted out as the Corporate Reception and Meeting space, a place for Lisney to receive their Clients, hold large meetings and conduct auctions. The second floor comprised the open plan office space, internal meeting space, staff canteen facilities, file storage and desking for 80 staff members.

Works were conducted on the upper floors of St. Stephens Green House, a multi tenanted office block, with all logistics and day-to-day site issues managed by the on-site Sonica Operations Team.
",1200m2,"8 weeks onsite
","High End Corporate reception area
Stone flooring and bespoke branded joinery
Management of Client direct Furniture and A/V vendors
Aggressive programme delivered in multi-tenanted building","Your staff were exceptionally courteous to all our sitting building tenants through the whole fitout process, we hardly noticed you were even here.","David Hogan, SSG Building Manager"
Apollo Aviation,"Connaught House, Burlington Road, Dublin 4","Founded in 2002, Apollo Aviation Group is a multi-strategy alternative investment firm specializing in commercial aviation investing, creating and extracting value by investing in mid-life and mature commercial aircraft and engines.

Sonica were appointed as traditional Main Contractor for the fitout, which was carried out on the top floor of Connaught House, the exclusive multi-tenanted corporate HQ building off Mespil Road in Dublin 2.
With stunning views over Dublin, the works involved the complete strip out of the existing finishes in preparation for the new Apollo layouts. Several key building features were identified to be retained and incorporated within the completed office works, all others were promptly cleared in the opening days on site.

The completed offices comprise open plan work areas, cellular offices and meeting rooms, a bespoke Client reception area, staff canteen & break out area, full data rewire back to a new comms room, complete A/V & VC installation and a thorough M&E upgrade to accommodate the new layouts.

Working on the top floor of one of the most prestigious buildings in Dublin presented it’s own challenges, but through the daily co-ordination and management of works by the sitting Sonica Site Team, the project ran smoothly for start to finish. The completed office is considered by the Professional Team as one of the finest small office fitout examples conducted in Dublin in recent years.
",1000m2,8 weeks on site,"Bespoke joinery installations to Client Reception Area & Corporate Meeting Space
Identification, retention and re-use of core building fabrics to augment the fitout
Complete M&E overhaul to suit new office layouts
Intense co-ordination with sitting Building Management through the fitout process.","Very easy to work with and extremely professional from start to finish. Completed the job to a very high quality on time and within budget – 
couldn’t ask for any more.","Marcus Miller, VP Dublin Operations, Apollo Aviation"